ID_Stof,ATC_code
7ab26f72-2580-452a-9d1b-78ffbd9f8180,C03CA01
fc0f8c93-277b-4b17-986f-3825947d37f4,A02BX13
bff4cf68-41d0-4aba-8cd2-6a81eb6ceb0e,A02BX13
e7ae6e1a-33b8-4feb-9e7f-f33431b70c23,L01XX11
5203483b-8991-4507-ba22-c7f290fbde99,C01DA02
34ce94f3-6c13-4185-8758-b4440e8a9a01,N02BA51
092a9f3d-5919-4d21-814d-3d1b2e3faca2,N02BA51
6ffed40b-fbad-4c7f-a9ce-a4bd88668338,M01AE01
f9981f1b-23a2-4ee1-9af7-f18f9a99ae66,G03CA03
29e5a7d2-40d4-4003-b42b-b8ba8bb082f0,G03FB05
f9981f1b-23a2-4ee1-9af7-f18f9a99ae66,G03FB05
374b61d5-8309-41ce-b8a8-7839ca88925b,N05AF05
d944099d-d061-4e4d-acfa-bb520af59e40,B05BB01
d2592df7-a327-447b-b3aa-c73b421f552d,N05CD02
90b7b030-d239-40c2-8361-b46ead9a629d,D01AC20
b300aae7-7a56-47dd-aea0-3e3eaa02e988,D01AC20
d944099d-d061-4e4d-acfa-bb520af59e40,A02AD01
0c05e795-0d89-440e-a9c2-0a8bbc9319e0,A02AD01
59883712-bc71-47ea-9213-6e72ee487883,J01CA01
4ec7bbba-2b6a-4d2f-a23e-1e3b9aa01089,B05XC
d04f0771-d721-4b74-afcc-38b471ac9dfa,B05XC
e44b5e7a-397a-4744-a3de-1b5d6751d0a5,B05XC
39a44393-3183-444f-85db-17af7683500f,B05XC
95ebd9bb-2d6d-4297-b4b4-ec2b95ef8eae,B05XC
731826c5-237a-4379-adb1-b6408e365755,B05XC
1e84990a-5caa-4b04-91bc-7b4b001bd1a8,B05XC
f619c706-902f-4e35-ba89-dd2c38d56808,B05XC
e5c3a665-d48e-4442-96fc-77ef4a6c1b96,B05XC
334c7234-ef3a-4f39-abda-5f8da36734a9,C07AG01
e5c3a665-d48e-4442-96fc-77ef4a6c1b96,A11CA01
34d8e9c4-a54e-49a6-81d4-9f7536ce2435,C01CA24
fc0f8c93-277b-4b17-986f-3825947d37f4,A02AD01
0acd18e5-305e-40ad-9804-3d6adef15db5,C01AA05
1446a56b-6e54-463c-b2f4-061e97c8d7f8,N02CA52
34ce94f3-6c13-4185-8758-b4440e8a9a01,N02CA52
d7d70cc3-2689-4680-a4a4-a81f7d16d3b2,N03AA02
a4112713-ec44-4333-969a-82b0738002b1,M01AA01
95ebd9bb-2d6d-4297-b4b4-ec2b95ef8eae,B03BB01
2ef7086e-0e92-4836-a6f3-e355d613e2fe,N06AA02
d54963ab-8c84-4d9f-a0d4-d84150d4dde0,P01BC01
124a8e64-4b28-40fc-ae99-0a5e9a57148b,N05BA02
7d033f8d-7ae0-48e9-b9a5-badaaf1d04bd,S01AA01
796a7150-2dc9-4c97-aae0-7fa89a897ab8,M03BB03
0c05e795-0d89-440e-a9c2-0a8bbc9319e0,N02BA75
34ce94f3-6c13-4185-8758-b4440e8a9a01,N02BA75
74e00731-6649-45cd-bea5-0b9d56d23e13,N02BA75
74e00731-6649-45cd-bea5-0b9d56d23e13,R05DA04
74e00731-6649-45cd-bea5-0b9d56d23e13,N02AJ07
0c05e795-0d89-440e-a9c2-0a8bbc9319e0,N02AJ07
