ATC_CODE,ATC_Level_1,ATC_Level_2,ATC_Level_3,ATC_Level_4,ATC_Level_5
A05AA04,A,A05,A05A,A05AA,A05AA04
A06AB01,A,A06,A06A,A06AB,A06AB01
A06AB02,A,A06,A06A,A06AB,A06AB02
A06AB03,A,A06,A06A,A06AB,A06AB03
A06AB04,A,A06,A06A,A06AB,A06AB04
A06AB05,A,A06,A06A,A06AB,A06AB05
A06AB06,A,A06,A06A,A06AB,A06AB06
A06AB07,A,A06,A06A,A06AB,A06AB07
A06AB08,A,A06,A06A,A06AB,A06AB08
A06AB09,A,A06,A06A,A06AB,A06AB09
A06AB58,A,A06,A06A,A06AB,A06AB58
A06AC01,A,A06,A06A,A06AC,A06AC01
A06AC06,A,A06,A06A,A06AC,A06AC06
A06AC08,A,A06,A06A,A06AC,A06AC08
A06AD01,A,A06,A06A,A06AD,A06AD01
A06AD02,A,A06,A06A,A06AD,A06AD02
A06AD04,A,A06,A06A,A06AD,A06AD04
A06AD11,A,A06,A06A,A06AD,A06AD11
A06AD12,A,A06,A06A,A06AD,A06AD12
A06AD13,A,A06,A06A,A06AD,A06AD13
A06AD14,A,A06,A06A,A06AD,A06AD14
A06AD15,A,A06,A06A,A06AD,A06AD15
A06AD16,A,A06,A06A,A06AD,A06AD16
A06AD17,A,A06,A06A,A06AD,A06AD17
A06AD18,A,A06,A06A,A06AD,A06AD18
A06AD19,A,A06,A06A,A06AD,A06AD19
A06AD21,A,A06,A06A,A06AD,A06AD21
A06AG01,A,A06,A06A,A06AG,A06AG01
A06AG02,A,A06,A06A,A06AG,A06AG02
A06AG04,A,A06,A06A,A06AG,A06AG04
A06AG07,A,A06,A06A,A06AG,A06AG07
A06AG10,A,A06,A06A,A06AG,A06AG10
A06AH01,A,A06,A06A,A06AH,A06AH01
A06AH02,A,A06,A06A,A06AH,A06AH02
A06AH03,A,A06,A06A,A06AH,A06AH03
A06AH04,A,A06,A06A,A06AH,A06AH04
A06AH05,A,A06,A06A,A06AH,A06AH05
A06AX01,A,A06,A06A,A06AX,A06AX01
A06AX03,A,A06,A06A,A06AX,A06AX03
A06AX04,A,A06,A06A,A06AX,A06AX04
A06AX05,A,A06,A06A,A06AX,A06AX05
A06AX06,A,A06,A06A,A06AX,A06AX06
A06AA01,A,A06,A06A,A06AA,A06AA01
A06AA02,A,A06,A06A,A06AA,A06AA02
A07AB02,A,A07,A07A,A07AB,A07AB02
A07AB03,A,A07,A07A,A07AB,A07AB03
A07AB04,A,A07,A07A,A07AB,A07AB04
A07AC01,A,A07,A07A,A07AC,A07AC01
A07BA01,A,A07,A07B,A07BA,A07BA01
A07DA01,A,A07,A07D,A07DA,A07DA01
A07DA02,A,A07,A07D,A07DA,A07DA02
A07DA03,A,A07,A07D,A07DA,A07DA03
A07DA04,A,A07,A07D,A07DA,A07DA04
A07DA05,A,A07,A07D,A07DA,A07DA05
A07DA06,A,A07,A07D,A07DA,A07DA06
A07EA01,A,A07,A07E,A07EA,A07EA01
A07EA02,A,A07,A07E,A07EA,A07EA02
A07EA03,A,A07,A07E,A07EA,A07EA03
A07EA04,A,A07,A07E,A07EA,A07EA04
A07EA05,A,A07,A07E,A07EA,A07EA05
A07EA06,A,A07,A07E,A07EA,A07EA06
A07EA07,A,A07,A07E,A07EA,A07EA07
A07EC01,A,A07,A07E,A07EC,A07EC01
A07EC02,A,A07,A07E,A07EC,A07EC02
A07EC03,A,A07,A07E,A07EC,A07EC03
A07EC04,A,A07,A07E,A07EC,A07EC04
A07XA01,A,A07,A07X,A07XA,A07XA01
A07XA04,A,A07,A07X,A07XA,A07XA04
A07AA01,A,A07,A07A,A07AA,A07AA01
A07AA04,A,A07,A07A,A07AA,A07AA04
A07AA05,A,A07,A07A,A07AA,A07AA05
A07AA06,A,A07,A07A,A07AA,A07AA06
A07AA07,A,A07,A07A,A07AA,A07AA07
A07AA08,A,A07,A07A,A07AA,A07AA08
A07AA09,A,A07,A07A,A07AA,A07AA09
A07AA10,A,A07,A07A,A07AA,A07AA10
A07AA11,A,A07,A07A,A07AA,A07AA11
A07AA12,A,A07,A07A,A07AA,A07AA12
A07AA13,A,A07,A07A,A07AA,A07AA13
A08AX01,A,A08,A08A,A08AX,A08AX01
A08AA01,A,A08,A08A,A08AA,A08AA01
A08AA02,A,A08,A08A,A08AA,A08AA02
A08AA03,A,A08,A08A,A08AA,A08AA03
A08AA04,A,A08,A08A,A08AA,A08AA04
A08AA05,A,A08,A08A,A08AA,A08AA05
A08AA06,A,A08,A08A,A08AA,A08AA06
A08AA07,A,A08,A08A,A08AA,A08AA07
A08AA08,A,A08,A08A,A08AA,A08AA08
A08AA09,A,A08,A08A,A08AA,A08AA09
A08AA10,A,A08,A08A,A08AA,A08AA10
A09AA01,A,A09,A09A,A09AA,A09AA01
A09AA04,A,A09,A09A,A09AA,A09AA04
A10AB01,A,A10,A10A,A10AB,A10AB01
A10AB03,A,A10,A10A,A10AB,A10AB03
A10AB04,A,A10,A10A,A10AB,A10AB04
A10AB05,A,A10,A10A,A10AB,A10AB05
A10AB06,A,A10,A10A,A10AB,A10AB06
A10AC01,A,A10,A10A,A10AC,A10AC01
A10AC03,A,A10,A10A,A10AC,A10AC03
A10AC04,A,A10,A10A,A10AC,A10AC04
A10AD01,A,A10,A10A,A10AD,A10AD01
A10AD03,A,A10,A10A,A10AD,A10AD03
A10AD04,A,A10,A10A,A10AD,A10AD04
A10AD05,A,A10,A10A,A10AD,A10AD05
A10AD06,A,A10,A10A,A10AD,A10AD06
A10AE01,A,A10,A10A,A10AE,A10AE01
A10AE03,A,A10,A10A,A10AE,A10AE03
A10AE04,A,A10,A10A,A10AE,A10AE04
A10AE05,A,A10,A10A,A10AE,A10AE05
A10AE06,A,A10,A10A,A10AE,A10AE06
A10AE54,A,A10,A10A,A10AE,A10AE54
A10AE56,A,A10,A10A,A10AE,A10AE56
A10AF01,A,A10,A10A,A10AF,A10AF01
A10BA01,A,A10,A10B,A10BA,A10BA01
A10BA02,A,A10,A10B,A10BA,A10BA02
A10BA03,A,A10,A10B,A10BA,A10BA03
A10BB01,A,A10,A10B,A10BB,A10BB01
A10BB02,A,A10,A10B,A10BB,A10BB02
A10BB03,A,A10,A10B,A10BB,A10BB03
A10BB04,A,A10,A10B,A10BB,A10BB04
A10BB05,A,A10,A10B,A10BB,A10BB05
A10BB06,A,A10,A10B,A10BB,A10BB06
A10BB07,A,A10,A10B,A10BB,A10BB07
A10BB08,A,A10,A10B,A10BB,A10BB08
A10BB09,A,A10,A10B,A10BB,A10BB09
A10BB10,A,A10,A10B,A10BB,A10BB10
A10BB11,A,A10,A10B,A10BB,A10BB11
A10BB12,A,A10,A10B,A10BB,A10BB12
A10BB31,A,A10,A10B,A10BB,A10BB31
A10BC01,A,A10,A10B,A10BC,A10BC01
A10BD02,A,A10,A10B,A10BD,A10BD02
A10BD03,A,A10,A10B,A10BD,A10BD03
A10BD04,A,A10,A10B,A10BD,A10BD04
A10BD05,A,A10,A10B,A10BD,A10BD05
A10BD06,A,A10,A10B,A10BD,A10BD06
A10BD07,A,A10,A10B,A10BD,A10BD07
A10BD08,A,A10,A10B,A10BD,A10BD08
A10BD09,A,A10,A10B,A10BD,A10BD09
A10BD10,A,A10,A10B,A10BD,A10BD10
A10BD11,A,A10,A10B,A10BD,A10BD11
A10BD13,A,A10,A10B,A10BD,A10BD13
A10BD14,A,A10,A10B,A10BD,A10BD14
A10BD15,A,A10,A10B,A10BD,A10BD15
A10BD16,A,A10,A10B,A10BD,A10BD16
A10BD19,A,A10,A10B,A10BD,A10BD19
A10BD20,A,A10,A10B,A10BD,A10BD20
A10BD21,A,A10,A10B,A10BD,A10BD21
A10BD23,A,A10,A10B,A10BD,A10BD23
A10BD24,A,A10,A10B,A10BD,A10BD24
A10BF01,A,A10,A10B,A10BF,A10BF01
A10BF02,A,A10,A10B,A10BF,A10BF02
A10BF03,A,A10,A10B,A10BF,A10BF03
A10BG01,A,A10,A10B,A10BG,A10BG01
A10BG02,A,A10,A10B,A10BG,A10BG02
A10BG03,A,A10,A10B,A10BG,A10BG03
A10BH01,A,A10,A10B,A10BH,A10BH01
A10BH02,A,A10,A10B,A10BH,A10BH02
A10BH03,A,A10,A10B,A10BH,A10BH03
A10BH04,A,A10,A10B,A10BH,A10BH04
A10BH05,A,A10,A10B,A10BH,A10BH05
A10BH06,A,A10,A10B,A10BH,A10BH06
A10BH07,A,A10,A10B,A10BH,A10BH07
A10BH51,A,A10,A10B,A10BH,A10BH51
A10BJ01,A,A10,A10B,A10BJ,A10BJ01
A10BJ02,A,A10,A10B,A10BJ,A10BJ02
A10BJ03,A,A10,A10B,A10BJ,A10BJ03
A10BJ04,A,A10,A10B,A10BJ,A10BJ04
A10BJ05,A,A10,A10B,A10BJ,A10BJ05
A10BJ06,A,A10,A10B,A10BJ,A10BJ06
A10BK01,A,A10,A10B,A10BK,A10BK01
A10BK02,A,A10,A10B,A10BK,A10BK02
A10BK03,A,A10,A10B,A10BK,A10BK03
A10BK04,A,A10,A10B,A10BK,A10BK04
A10BK05,A,A10,A10B,A10BK,A10BK05
A10BK06,A,A10,A10B,A10BK,A10BK06
A10BX01,A,A10,A10B,A10BX,A10BX01
A10BX02,A,A10,A10B,A10BX,A10BX02
A10BX03,A,A10,A10B,A10BX,A10BX03
A10BX05,A,A10,A10B,A10BX,A10BX05
A10BX06,A,A10,A10B,A10BX,A10BX06
A10BX08,A,A10,A10B,A10BX,A10BX08
A10XA01,A,A10,A10X,A10XA,A10XA01
A11CA01,A,A11,A11C,A11CA,A11CA01
A11CA02,A,A11,A11C,A11CA,A11CA02
A11CC01,A,A11,A11C,A11CC,A11CC01
A11CC02,A,A11,A11C,A11CC,A11CC02
A11CC03,A,A11,A11C,A11CC,A11CC03
A11CC04,A,A11,A11C,A11CC,A11CC04
A11CC05,A,A11,A11C,A11CC,A11CC05
A11CC06,A,A11,A11C,A11CC,A11CC06
