ATC_CODE,ATC_Level_1,ATC_Level_2,ATC_Level_3,ATC_Level_4,ATC_Level_5
A03CB03,A,A03,A03C,A03CB,A03CB03
A03CB04,A,A03,A03C,A03CB,A03CB04
A03CB31,A,A03,A03C,A03CB,A03CB31
A03DA03,A,A03,A03D,A03DA,A03DA03
A03DA05,A,A03,A03D,A03DA,A03DA05
A03DA06,A,A03,A03D,A03DA,A03DA06
A03DA07,A,A03,A03D,A03DA,A03DA07
A03DB04,A,A03,A03D,A03DB,A03DB04
A03FA01,A,A03,A03F,A03FA,A03FA01
A03FA02,A,A03,A03F,A03FA,A03FA02
A03FA03,A,A03,A03F,A03FA,A03FA03
A03FA04,A,A03,A03F,A03FA,A03FA04
A03FA05,A,A03,A03F,A03FA,A03FA05
A03FA06,A,A03,A03F,A03FA,A03FA06
A03FA08,A,A03,A03F,A03FA,A03FA08
A03AA01,A,A03,A03A,A03AA,A03AA01
A03AA03,A,A03,A03A,A03AA,A03AA03
A03AA04,A,A03,A03A,A03AA,A03AA04
A03AA05,A,A03,A03A,A03AA,A03AA05
A03AA06,A,A03,A03A,A03AA,A03AA06
A03AA07,A,A03,A03A,A03AA,A03AA07
A03AA08,A,A03,A03A,A03AA,A03AA08
A03AA09,A,A03,A03A,A03AA,A03AA09
A03AA30,A,A03,A03A,A03AA,A03AA30
A04AD01,A,A04,A04A,A04AD,A04AD01
A04AD10,A,A04,A04A,A04AD,A04AD10
A04AD11,A,A04,A04A,A04AD,A04AD11
A04AD12,A,A04,A04A,A04AD,A04AD12
A04AD14,A,A04,A04A,A04AD,A04AD14
A04AD51,A,A04,A04A,A04AD,A04AD51
A04AA01,A,A04,A04A,A04AA,A04AA01
A04AA02,A,A04,A04A,A04AA,A04AA02
A04AA03,A,A04,A04A,A04AA,A04AA03
A04AA04,A,A04,A04A,A04AA,A04AA04
A04AA05,A,A04,A04A,A04AA,A04AA05
A04AA55,A,A04,A04A,A04AA,A04AA55
A05AB01,A,A05,A05A,A05AB,A05AB01
A05AX02,A,A05,A05A,A05AX,A05AX02
A05BA08,A,A05,A05B,A05BA,A05BA08
A05AA01,A,A05,A05A,A05AA,A05AA01
A05AA02,A,A05,A05A,A05AA,A05AA02
A05AA03,A,A05,A05A,A05AA,A05AA03
A05AA04,A,A05,A05A,A05AA,A05AA04
A06AB01,A,A06,A06A,A06AB,A06AB01
A06AB02,A,A06,A06A,A06AB,A06AB02
A06AB03,A,A06,A06A,A06AB,A06AB03
A06AB04,A,A06,A06A,A06AB,A06AB04
A06AB05,A,A06,A06A,A06AB,A06AB05
A06AB06,A,A06,A06A,A06AB,A06AB06
A06AB08,A,A06,A06A,A06AB,A06AB08
A06AB09,A,A06,A06A,A06AB,A06AB09
A06AB52,A,A06,A06A,A06AB,A06AB52
A06AB53,A,A06,A06A,A06AB,A06AB53
A06AB56,A,A06,A06A,A06AB,A06AB56
A06AB58,A,A06,A06A,A06AB,A06AB58
A06AC06,A,A06,A06A,A06AC,A06AC06
A06AC08,A,A06,A06A,A06AC,A06AC08
A06AC51,A,A06,A06A,A06AC,A06AC51
A06AD01,A,A06,A06A,A06AD,A06AD01
A06AD02,A,A06,A06A,A06AD,A06AD02
A06AD03,A,A06,A06A,A06AD,A06AD03
A06AD04,A,A06,A06A,A06AD,A06AD04
A06AD11,A,A06,A06A,A06AD,A06AD11
A06AD12,A,A06,A06A,A06AD,A06AD12
A06AD13,A,A06,A06A,A06AD,A06AD13
A06AD14,A,A06,A06A,A06AD,A06AD14
A06AD15,A,A06,A06A,A06AD,A06AD15
A06AD16,A,A06,A06A,A06AD,A06AD16
A06AD18,A,A06,A06A,A06AD,A06AD18
A06AD19,A,A06,A06A,A06AD,A06AD19
A06AD21,A,A06,A06A,A06AD,A06AD21
A06AD61,A,A06,A06A,A06AD,A06AD61
A06AD65,A,A06,A06A,A06AD,A06AD65
A06AG02,A,A06,A06A,A06AG,A06AG02
A06AG03,A,A06,A06A,A06AG,A06AG03
A06AG04,A,A06,A06A,A06AG,A06AG04
A06AG07,A,A06,A06A,A06AG,A06AG07
A06AH01,A,A06,A06A,A06AH,A06AH01
A06AH02,A,A06,A06A,A06AH,A06AH02
A06AH03,A,A06,A06A,A06AH,A06AH03
A06AH04,A,A06,A06A,A06AH,A06AH04
A06AH05,A,A06,A06A,A06AH,A06AH05
