ID_Niveau2,ID_Niveau3,ID_Dokumentationsgrad,ID_KliniskBetydning,ID_Rekommandation,Tekst,Rekommandationstekst,ID_Stof1,ID_Stof2
c60253ee-2283-48fc-be05-50dc767e1ac0,b249ab9e-202a-404c-9121-00077116b535,dd95e393-e0b4-451f-a3f0-cb16d78efe8a,3d464ee6-31c4-4054-a9f6-c65e56ae4cfd,bc9cf340-f84b-4481-8412-62b1f193a7a7,list(NULL),list(NULL),d105c65c-2dc2-4c14-8267-4ee65ebfcfc5,c1f1f6d0-3e23-45fe-8209-2285d2a90c0b
45c339a6-8a9e-4356-bbb9-67456f595f88,0bca8cba-3875-4643-812a-0009f7b392a7,dd95e393-e0b4-451f-a3f0-cb16d78efe8a,1376daa2-f6fe-4e7a-8014-3d20d20f1598,7faad3aa-ba26-4565-b1e2-fc2d8c723ff8,list(NULL),list(NULL),429d2ab4-bc0f-4fe4-ad40-b2a16e874bc6,29d2dc35-4888-48ad-9ee9-f9bde983b4c7
3c0611f0-56ce-4270-b8d6-728101bf4806,9e022a05-f2b9-4384-be59-000c908a9b36,d140beab-7347-497f-bffb-72a01293e761,93982a2f-f01c-4e7c-8c17-4cd9a899edc6,6d21864f-ed3e-46ad-85d5-bdfad11595c9,list(NULL),list(NULL),c03d3d70-4590-4ba5-b8f6-9a77f71ee097,3e9bc7e1-b4ce-4f57-893a-ee0031f9c880
54ae6466-b3d0-4713-b650-771595d795c6,28a327fe-b76b-4c06-bb73-00166594a293,eb736cfc-dabc-4c1d-ac47-adad8e2925ea,3d464ee6-31c4-4054-a9f6-c65e56ae4cfd,2a228812-dbc7-4142-be51-867544b62ba8,list(NULL),list(NULL),605948fc-f394-4cb8-aa21-f9b1743b6302,72c6c0ee-d216-469b-83f4-dfc701fff8e4
a8611b0f-aa3d-4e71-831f-c60447ddf5e2,c48230c4-58ec-4307-9272-0021ac57461a,b48e6db7-5677-466a-8cd9-d6e22e14ad62,a4cd5cc6-1e1b-4a0d-8387-8b545b6b8f0a,6d21864f-ed3e-46ad-85d5-bdfad11595c9,list(NULL),list(NULL),dc0e3396-6c71-4c27-a175-8e9a77bf0aa9,429d2ab4-bc0f-4fe4-ad40-b2a16e874bc6
1675dc93-74fb-4543-892d-1554d2e55443,371dccc4-090d-4b2a-86a1-0025fc003f6c,b48e6db7-5677-466a-8cd9-d6e22e14ad62,1376daa2-f6fe-4e7a-8014-3d20d20f1598,7faad3aa-ba26-4565-b1e2-fc2d8c723ff8,list(NULL),list(NULL),deb3b581-5091-42d2-b212-6b92963e0b40,de8e96b5-a248-45db-8322-a57d7c8f823c
40324786-342d-4ddf-b69c-83338400e915,1e5ffed8-2000-44ef-b6cc-003af14dbca9,dd95e393-e0b4-451f-a3f0-cb16d78efe8a,93982a2f-f01c-4e7c-8c17-4cd9a899edc6,6d21864f-ed3e-46ad-85d5-bdfad11595c9,list(NULL),list(NULL),5ebff69c-63e0-4ae4-b4ac-c8415004902f,5fe77283-249f-4484-929c-1018e2b46f79
be12d573-c219-4ed0-96d1-3919aa8d474a,c2e2546e-903e-470a-b92f-004edaef3214,d140beab-7347-497f-bffb-72a01293e761,1376daa2-f6fe-4e7a-8014-3d20d20f1598,7faad3aa-ba26-4565-b1e2-fc2d8c723ff8,list(NULL),list(NULL),df6c2fe3-4db7-4073-8aee-32c0428b5db6,6a0314e1-6deb-49cb-8a12-41be348ac1df
7d9f6398-1800-4647-b7c3-3b173a71b785,0532b50d-3a50-4774-a2f6-007b2dd562ee,dd95e393-e0b4-451f-a3f0-cb16d78efe8a,93982a2f-f01c-4e7c-8c17-4cd9a899edc6,126049e3-17cc-4834-9761-0a54bceee4d2,list(NULL),list(NULL),b5d3e047-48e2-48b6-88e8-95011cf6b30d,93ed2104-a44a-4e55-90ba-49e892442cdf
2b868818-7473-4a7b-8299-2cd4ed82711d,51c92337-474f-49cf-88b3-009088859de8,b48e6db7-5677-466a-8cd9-d6e22e14ad62,1376daa2-f6fe-4e7a-8014-3d20d20f1598,7faad3aa-ba26-4565-b1e2-fc2d8c723ff8,list(NULL),list(NULL),092a9f3d-5919-4d21-814d-3d1b2e3faca2,a73527aa-61a5-42d5-ad7e-61736a2e1c3e
