drug,codrug,Evidence_level,Clinical_significance,Management_option,level_1_atc_drug,level_1_atc_codrug,ATC_vector
G03DA02,R07AX30,dokumenteret,moderat,5,G,R,G03DA02_R07AX30
G03AA11,C02KX01,ringe dokumenteret,mulig,5,G,C,C02KX01_G03AA11
L04AD01,C10AA04,veldokumenteret,mulig,5,L,C,C10AA04_L04AD01
G03AC01,R07AX30,dokumenteret,moderat,5,G,R,G03AC01_R07AX30
C10AB04,M01AE51,begrænset dokumenteret,mulig,5,C,M,C10AB04_M01AE51
C09XA52,C09DX01,dokumenteret,moderat,5,C,C,C09DX01_C09XA52
C09XA52,C09CA03,dokumenteret,moderat,5,C,C,C09CA03_C09XA52
J05AF01,J01EE01,dokumenteret,moderat,5,J,J,J01EE01_J05AF01
V03AE04,H03AA01,dokumenteret,moderat,5,V,H,H03AA01_V03AE04
A10AB05,C09BA05,veldokumenteret,mulig,5,A,C,A10AB05_C09BA05
A10BD23,V08AB10,dokumenteret,udtalt,5,A,V,A10BD23_V08AB10
G03AB05,B01AA03,dokumenteret,mulig,5,G,B,B01AA03_G03AB05
R07AX31,J04AM02,dokumenteret,moderat,5,R,J,J04AM02_R07AX31
M02AA13,N02BA75,dokumenteret,mulig,5,M,N,M02AA13_N02BA75
J05AG01,J05AR10,veldokumenteret,mulig,5,J,J,J05AG01_J05AR10
C08CA05,A02BC01,dokumenteret,mulig,5,C,A,A02BC01_C08CA05
R03AL01,C07AB09,dokumenteret,moderat,5,R,C,C07AB09_R03AL01
J05AR15,R03AK06,begrænset dokumenteret,moderat,5,J,R,J05AR15_R03AK06
N02CA52,C07AA05,begrænset dokumenteret,mulig,5,N,C,C07AA05_N02CA52
G03FB08,C02KX01,ringe dokumenteret,mulig,5,G,C,C02KX01_G03FB08
B05ZB,B05XX,veldokumenteret,moderat,5,B,B,B05XX_B05ZB
J05AP01,B01AC30,begrænset dokumenteret,mulig,5,J,B,B01AC30_J05AP01
R03AL05,C07AB09,dokumenteret,moderat,5,R,C,C07AB09_R03AL05
R03CC02,C07AB09,dokumenteret,moderat,5,R,C,C07AB09_R03CC02
A10BD08,C09BA03,ringe dokumenteret,mulig,5,A,C,A10BD08_C09BA03
M02AA07,C09BA01,dokumenteret,moderat,5,M,C,C09BA01_M02AA07
A10AD04,C09BA03,veldokumenteret,mulig,5,A,C,A10AD04_C09BA03
R03AL02,C07AB09,dokumenteret,moderat,5,R,C,C07AB09_R03AL02
M01AC01,C09DX01,dokumenteret,moderat,5,M,C,C09DX01_M01AC01
M01AC01,C09DA03,dokumenteret,moderat,5,M,C,C09DA03_M01AC01
R03AC13,C07BB07,dokumenteret,moderat,5,R,C,C07BB07_R03AC13
A10BD15,C09BA05,ringe dokumenteret,mulig,5,A,C,A10BD15_C09BA05
L04AD01,J01MA02,begrænset dokumenteret,mulig,5,L,J,J01MA02_L04AD01
J04AM06,G03FA14,veldokumenteret,moderat,5,J,G,G03FA14_J04AM06
B01AA03,J01XX08,dokumenteret,mulig,5,B,J,B01AA03_J01XX08
A10BD16,C09BA05,ringe dokumenteret,mulig,5,A,C,A10BD16_C09BA05
V03AE04,G03HB01,dokumenteret,udtalt,5,V,G,G03HB01_V03AE04
N07BC02,J05AR10,dokumenteret,mulig,5,N,J,J05AR10_N07BC02
H02AB02,J02AC02,dokumenteret,moderat,5,H,J,H02AB02_J02AC02
C08CA01,C10BA02,veldokumenteret,moderat,5,C,C,C08CA01_C10BA02
J05AP53,R03AK12,ringe dokumenteret,moderat,5,J,R,J05AP53_R03AK12
B05DB,B03AA02,veldokumenteret,moderat,5,B,B,B03AA02_B05DB
J05AP53,R03BA02,ringe dokumenteret,moderat,5,J,R,J05AP53_R03BA02
R03AL02,C07AB02,dokumenteret,moderat,5,R,C,C07AB02_R03AL02
B05DB,G03FB06,dokumenteret,udtalt,5,B,G,B05DB_G03FB06
N01BB51,C07AG01,dokumenteret,moderat,5,N,C,C07AG01_N01BB51
A10AD06,C09BB02,veldokumenteret,mulig,5,A,C,A10AD06_C09BB02
L04AD01,L01CB01,veldokumenteret,udtalt,5,L,L,L01CB01_L04AD01
N01BB51,N02AA51,dokumenteret,mulig,5,N,N,N01BB51_N02AA51
B05BA10,B03AA02,veldokumenteret,moderat,5,B,B,B03AA02_B05BA10
J01XD01,A10BB01,dokumenteret,moderat,5,J,A,A10BB01_J01XD01
J04AB02,G03FB08,veldokumenteret,moderat,5,J,G,G03FB08_J04AB02
C09XA02,C09CA03,dokumenteret,moderat,5,C,C,C09CA03_C09XA02
M01AH05,G03AA07,dokumenteret,mulig,5,M,G,G03AA07_M01AH05
M01AH05,G03AB08,dokumenteret,mulig,5,M,G,G03AB08_M01AH05
J04AB02,G03FB06,veldokumenteret,moderat,5,J,G,G03FB06_J04AB02
C09BA01,B05XA06,dokumenteret,moderat,5,C,B,B05XA06_C09BA01
S01XA18,S02CA03,begrænset dokumenteret,mulig,5,S,S,S01XA18_S02CA03
M01AH05,G03FA12,dokumenteret,mulig,5,M,G,G03FA12_M01AH05
J04AB04,G03AA16,veldokumenteret,moderat,5,J,G,G03AA16_J04AB04
L04AX03,M04AA51,dokumenteret,moderat,5,L,M,L04AX03_M04AA51
G03AA16,N03AX22,dokumenteret,mulig,5,G,N,G03AA16_N03AX22
N01BB53,N02AA51,dokumenteret,mulig,5,N,N,N01BB53_N02AA51
G03AB03,J05AG03,veldokumenteret,mulig,5,G,J,G03AB03_J05AG03
G03AB05,N03AG01,dokumenteret,mulig,5,G,N,G03AB05_N03AG01
A10AC04,C09AA01,veldokumenteret,mulig,5,A,C,A10AC04_C09AA01
A10BD11,V08AB09,dokumenteret,udtalt,5,A,V,A10BD11_V08AB09
N05CD08,N06AX25,dokumenteret,moderat,5,N,N,N05CD08_N06AX25
A12AA06,G03AB08,dokumenteret,udtalt,5,A,G,A12AA06_G03AB08
C08CA13,C01AA05,dokumenteret,mulig,5,C,C,C01AA05_C08CA13
N05AH02,J05AR10,ringe dokumenteret,mulig,5,N,J,J05AR10_N05AH02
L03AB07,C10BA05,dokumenteret,moderat,5,L,C,C10BA05_L03AB07
D01AE15,N06AB05,dokumenteret,ringe,5,D,N,D01AE15_N06AB05
A12AX,B03AA07,veldokumenteret,moderat,5,A,B,A12AX_B03AA07
C09CA03,N02BE51,dokumenteret,moderat,5,C,N,C09CA03_N02BE51
R03AL01,C07BB02,dokumenteret,moderat,5,R,C,C07BB02_R03AL01
A02AB04,J04AM02,dokumenteret,mulig,5,A,J,A02AB04_J04AM02
A10BH02,C09BA03,dokumenteret,moderat,5,A,C,A10BH02_C09BA03
L01XE10,C09BA02,ringe dokumenteret,moderat,5,L,C,C09BA02_L01XE10
J01EA01,A10BX02,dokumenteret,mulig,5,J,A,A10BX02_J01EA01
G04CA53,J02AB02,dokumenteret,mulig,5,G,J,G04CA53_J02AB02
C09XA52,J04AM06,dokumenteret,mulig,5,C,J,C09XA52_J04AM06
D01BA02,N06AX03,ringe dokumenteret,mulig,5,D,N,D01BA02_N06AX03
B05DB,G03FA17,dokumenteret,udtalt,5,B,G,B05DB_G03FA17
A10AE54,C09AA05,veldokumenteret,mulig,5,A,C,A10AE54_C09AA05
L01XE17,S02CA06,ringe dokumenteret,mulig,5,L,S,L01XE17_S02CA06
G03HB01,R07AX30,dokumenteret,mulig,5,G,R,G03HB01_R07AX30
A10BX02,C09DA07,ringe dokumenteret,mulig,5,A,C,A10BX02_C09DA07
M02AA13,C01AA05,dokumenteret,moderat,5,M,C,C01AA05_M02AA13
J05AR10,N07BC02,dokumenteret,mulig,5,J,N,J05AR10_N07BC02
D01AC08,B01AC24,dokumenteret,mulig,5,D,B,B01AC24_D01AC08
G03AD01,R07AX30,dokumenteret,moderat,5,G,R,G03AD01_R07AX30
B05BA10,G02BB01,dokumenteret,udtalt,5,B,G,B05BA10_G02BB01
N03AX09,N02AJ13,dokumenteret,mulig,5,N,N,N02AJ13_N03AX09
G03FB05,M03BX02,begrænset dokumenteret,moderat,5,G,M,G03FB05_M03BX02
G03AB08,D10BA01,dokumenteret,mulig,5,G,D,D10BA01_G03AB08
B05BA01,G03FB06,dokumenteret,udtalt,5,B,G,B05BA01_G03FB06
S02CA05,N03AF01,begrænset dokumenteret,moderat,5,S,N,N03AF01_S02CA05
J05AE08,J05AE05,dokumenteret,mulig,5,J,J,J05AE05_J05AE08
G03AC09,C02KX01,ringe dokumenteret,mulig,5,G,C,C02KX01_G03AC09
N04BD02,S02CA06,dokumenteret,udtalt,5,N,S,N04BD02_S02CA06
S01FA56,S02CA03,dokumenteret,mulig,5,S,S,S01FA56_S02CA03
L04AX03,C03AB01,ringe dokumenteret,moderat,5,L,C,C03AB01_L04AX03
J04AB02,A07EC01,dokumenteret,mulig,5,J,A,A07EC01_J04AB02
B05BA10,G03AA09,dokumenteret,udtalt,5,B,G,B05BA10_G03AA09
G03AB05,J05AR22,begrænset dokumenteret,mulig,5,G,J,G03AB05_J05AR22
G03FB06,B01AA04,dokumenteret,mulig,5,G,B,B01AA04_G03FB06
C09XA52,N02AJ13,dokumenteret,moderat,5,C,N,C09XA52_N02AJ13
N06AA10,N04BD01,begrænset dokumenteret,mulig,5,N,N,N04BD01_N06AA10
C05AA08,S02CA05,dokumenteret,mulig,5,C,S,C05AA08_S02CA05
A10AE04,C09AA01,veldokumenteret,mulig,5,A,C,A10AE04_C09AA01
C03EB01,N02BA75,ringe dokumenteret,moderat,5,C,N,C03EB01_N02BA75
N06AB06,C09DA06,ringe dokumenteret,moderat,5,N,C,C09DA06_N06AB06
S01XA18,J04AM06,ringe dokumenteret,mulig,5,S,J,J04AM06_S01XA18
N02AB03,N06AF01,begrænset dokumenteret,moderat,5,N,N,N02AB03_N06AF01
J05AR15,R03AL08,ringe dokumenteret,moderat,5,J,R,J05AR15_R03AL08
C01EB16,N02AJ06,dokumenteret,moderat,5,C,N,C01EB16_N02AJ06
L03AX,L04AD01,dokumenteret,mulig,5,L,L,L03AX_L04AD01
N07BC02,N06AX25,begrænset dokumenteret,moderat,5,N,N,N06AX25_N07BC02
G03AA07,R07AX30,dokumenteret,ingen,5,G,R,G03AA07_R07AX30
A10BB07,C09BA05,ringe dokumenteret,mulig,5,A,C,A10BB07_C09BA05
C10BA02,C08DA01,dokumenteret,moderat,5,C,C,C08DA01_C10BA02
J05AR24,J05AP02,dokumenteret,moderat,5,J,J,J05AP02_J05AR24
G03AD01,J05AP53,veldokumenteret,mulig,5,G,J,G03AD01_J05AP53
A02AD01,B03AA02,veldokumenteret,moderat,5,A,B,A02AD01_B03AA02
J05AR14,R03BA02,ringe dokumenteret,moderat,5,J,R,J05AR14_R03BA02
A10BX02,C09DX01,ringe dokumenteret,mulig,5,A,C,A10BX02_C09DX01
A10AB01,C09BB02,veldokumenteret,mulig,5,A,C,A10AB01_C09BB02
G03AB05,A08AB01,dokumenteret,mulig,5,G,A,A08AB01_G03AB05
D06AX01,C10BA03,ringe dokumenteret,udtalt,5,D,C,C10BA03_D06AX01
L02AB02,J05AG01,veldokumenteret,udtalt,5,L,J,J05AG01_L02AB02
L01BB04,J05AR13,ringe dokumenteret,mulig,5,L,J,J05AR13_L01BB04
A10AD05,C09BA02,veldokumenteret,mulig,5,A,C,A10AD05_C09BA02
C09BB02,B05XA06,ringe dokumenteret,moderat,5,C,B,B05XA06_C09BB02
J01FA01,C10AA02,begrænset dokumenteret,mulig,5,J,C,C10AA02_J01FA01
G02BA03,J05AR10,veldokumenteret,mulig,5,G,J,G02BA03_J05AR10
J05AR01,J01EE01,dokumenteret,moderat,5,J,J,J01EE01_J05AR01
C09DB04,L04AA06,dokumenteret,mulig,5,C,L,C09DB04_L04AA06
C05AD01,S02AA15,dokumenteret,mulig,5,C,S,C05AD01_S02AA15
A02BC05,B01AC30,dokumenteret,mulig,5,A,B,A02BC05_B01AC30
J05AR15,V04CL,dokumenteret,udtalt,5,J,V,J05AR15_V04CL
C05AD01,S02CA05,dokumenteret,mulig,5,C,S,C05AD01_S02CA05
N07BC02,J05AE03,dokumenteret,mulig,5,N,J,J05AE03_N07BC02
N04BD01,G03CA03,veldokumenteret,mulig,5,N,G,G03CA03_N04BD01
G03FB06,J05AR14,begrænset dokumenteret,mulig,5,G,J,G03FB06_J05AR14
N01BB20,S02AA15,dokumenteret,mulig,5,N,S,N01BB20_S02AA15
A10BB12,C09AA10,ringe dokumenteret,mulig,5,A,C,A10BB12_C09AA10
B01AF01,J04AM02,dokumenteret,moderat,5,B,J,B01AF01_J04AM02
A10BB07,C03AA03,ringe dokumenteret,mulig,5,A,C,A10BB07_C03AA03
S01AE05,C10AA01,ringe dokumenteret,udtalt,5,S,C,C10AA01_S01AE05
M01AC01,C09BA02,dokumenteret,moderat,5,M,C,C09BA02_M01AC01
M01AC01,C09DA01,dokumenteret,moderat,5,M,C,C09DA01_M01AC01
R03AL08,J02AB02,veldokumenteret,mulig,5,R,J,J02AB02_R03AL08
R03AL09,C07AB09,dokumenteret,moderat,5,R,C,C07AB09_R03AL09
J05AR18,R01AD12,ringe dokumenteret,moderat,5,J,R,J05AR18_R01AD12
A10BD10,C09BA01,ringe dokumenteret,mulig,5,A,C,A10BD10_C09BA01
N04BD01,G03FA12,veldokumenteret,mulig,5,N,G,G03FA12_N04BD01
M01AE02,B01AC30,dokumenteret,moderat,5,M,B,B01AC30_M01AE02
R03AL07,C07AB07,dokumenteret,moderat,5,R,C,C07AB07_R03AL07
J05AR10,R03AK10,begrænset dokumenteret,moderat,5,J,R,J05AR10_R03AK10
G03DA02,N04BD01,veldokumenteret,mulig,5,G,N,G03DA02_N04BD01
L01XE17,S01BA01,ringe dokumenteret,mulig,5,L,S,L01XE17_S01BA01
N01BB58,C07AG01,dokumenteret,moderat,5,N,C,C07AG01_N01BB58
G03AC06,B01AA04,dokumenteret,mulig,5,G,B,B01AA04_G03AC06
J01DD04,B05BB02,ringe dokumenteret,mulig,5,J,B,B05BB02_J01DD04
N01AH01,J05AR10,dokumenteret,mulig,5,N,J,J05AR10_N01AH01
A10BD08,C09BA02,ringe dokumenteret,mulig,5,A,C,A10BD08_C09BA02
A10BD11,B01AA04,dokumenteret,mulig,5,A,B,A10BD11_B01AA04
J02AA01,S01XA18,begrænset dokumenteret,moderat,5,J,S,J02AA01_S01XA18
D08AC02,S02AA15,dokumenteret,mulig,5,D,S,D08AC02_S02AA15
G03FA12,J05AR10,veldokumenteret,mulig,5,G,J,G03FA12_J05AR10
C09DB04,N03AF01,ringe dokumenteret,moderat,5,C,N,C09DB04_N03AF01
N05AD01,J02AC03,ringe dokumenteret,mulig,5,N,J,J02AC03_N05AD01
A02BX13,B05XX,veldokumenteret,moderat,5,A,B,A02BX13_B05XX
A10AE06,C09BA02,veldokumenteret,mulig,5,A,C,A10AE06_C09BA02
G03AC01,J05AR10,veldokumenteret,mulig,5,G,J,G03AC01_J05AR10
D04AB01,S02CA05,dokumenteret,mulig,5,D,S,D04AB01_S02CA05
G03DA02,N03AX22,dokumenteret,mulig,5,G,N,G03DA02_N03AX22
S01XA18,S01AE03,begrænset dokumenteret,mulig,5,S,S,S01AE03_S01XA18
R03CC02,S01ED02,dokumenteret,moderat,5,R,S,R03CC02_S01ED02
A10BB09,C09BA03,ringe dokumenteret,mulig,5,A,C,A10BB09_C09BA03
A06AD,S01XA18,veldokumenteret,mulig,5,A,S,A06AD_S01XA18
N06BA07,G03FB06,dokumenteret,mulig,5,N,G,G03FB06_N06BA07
J04AK05,J05AR10,dokumenteret,moderat,5,J,J,J04AK05_J05AR10
N02BA01,B01AF03,dokumenteret,moderat,5,N,B,B01AF03_N02BA01
G03AB08,B01AA03,dokumenteret,mulig,5,G,B,B01AA03_G03AB08
L04AD02,N06AX11,ringe dokumenteret,mulig,5,L,N,L04AD02_N06AX11
S01XA18,C01AA05,begrænset dokumenteret,mulig,5,S,C,C01AA05_S01XA18
B02BB01,H03AA01,dokumenteret,moderat,5,B,H,B02BB01_H03AA01
D06BX01,V04CX,begrænset dokumenteret,moderat,5,D,V,D06BX01_V04CX
G03AA14,M03BX02,begrænset dokumenteret,moderat,5,G,M,G03AA14_M03BX02
C01BD01,D11AH01,ringe dokumenteret,moderat,5,C,D,C01BD01_D11AH01
J05AR22,R03AK10,ringe dokumenteret,moderat,5,J,R,J05AR22_R03AK10
L01XE05,S01BA04,ringe dokumenteret,mulig,5,L,S,L01XE05_S01BA04
G03CA03,J02AC03,dokumenteret,mulig,5,G,J,G03CA03_J02AC03
J01EE01,B01AA03,veldokumenteret,moderat,5,J,B,B01AA03_J01EE01
M05BA04,M01AE02,dokumenteret,moderat,5,M,M,M01AE02_M05BA04
C09CA03,N02BE01,dokumenteret,moderat,5,C,N,C09CA03_N02BE01
A10BD16,V08AB07,dokumenteret,udtalt,5,A,V,A10BD16_V08AB07
J01DD04,A12AX,ringe dokumenteret,mulig,5,J,A,A12AX_J01DD04
J02AB02,R03AL08,dokumenteret,mulig,5,J,R,J02AB02_R03AL08
M01AE02,B01AF03,dokumenteret,moderat,5,M,B,B01AF03_M01AE02
B05BA10,G03FB05,dokumenteret,udtalt,5,B,G,B05BA10_G03FB05
A10BD05,C09BB02,ringe dokumenteret,mulig,5,A,C,A10BD05_C09BB02
C01AA05,C03DA01,veldokumenteret,moderat,5,C,C,C01AA05_C03DA01
G03AA13,J05AE01,dokumenteret,mulig,5,G,J,G03AA13_J05AE01
A10BX02,S01ED01,ringe dokumenteret,moderat,5,A,S,A10BX02_S01ED01
N05AH05,S02CA05,ringe dokumenteret,mulig,5,N,S,N05AH05_S02CA05
G03AD01,J05AR10,veldokumenteret,mulig,5,G,J,G03AD01_J05AR10
C09BA03,C03DA01,veldokumenteret,moderat,5,C,C,C03DA01_C09BA03
L01BA01,J01MA02,ringe dokumenteret,mulig,5,L,J,J01MA02_L01BA01
C07FX05,N06AB10,dokumenteret,moderat,5,C,N,C07FX05_N06AB10
L01CD01,L01BC05,veldokumenteret,mulig,5,L,L,L01BC05_L01CD01
G03AB05,R07AX30,dokumenteret,ingen,5,G,R,G03AB05_R07AX30
A10AD04,C09AA04,veldokumenteret,mulig,5,A,C,A10AD04_C09AA04
A10BD11,C09AA02,ringe dokumenteret,mulig,5,A,C,A10BD11_C09AA02
G04CA02,N06AB05,dokumenteret,mulig,5,G,N,G04CA02_N06AB05
J01FA01,H02AB04,dokumenteret,moderat,5,J,H,H02AB04_J01FA01
A10BD16,C09BA02,ringe dokumenteret,mulig,5,A,C,A10BD16_C09BA02
C05AD01,C01BC03,dokumenteret,ringe,5,C,C,C01BC03_C05AD01
A10AB01,C09BA03,veldokumenteret,mulig,5,A,C,A10AB01_C09BA03
C02KX04,J02AB02,dokumenteret,moderat,5,C,J,C02KX04_J02AB02
L01AA01,M03AB01,ringe dokumenteret,moderat,5,L,M,L01AA01_M03AB01
G03AB08,D10BA01,dokumenteret,mulig,5,G,D,D10BA01_G03AB08
R03AL09,S01EB51,dokumenteret,moderat,5,R,S,R03AL09_S01EB51
G03AB03,R07AX31,dokumenteret,mulig,5,G,R,G03AB03_R07AX31
M02AA15,C09BB02,dokumenteret,moderat,5,M,C,C09BB02_M02AA15
N04BD02,S01AE03,dokumenteret,udtalt,5,N,S,N04BD02_S01AE03
R03BA05,J05AR10,dokumenteret,moderat,5,R,J,J05AR10_R03BA05
A10AE54,C09AA04,veldokumenteret,mulig,5,A,C,A10AE54_C09AA04
R03BA05,J05AP53,dokumenteret,moderat,5,R,J,J05AP53_R03BA05
M04AA51,C09BA01,ringe dokumenteret,moderat,5,M,C,C09BA01_M04AA51
A10BB03,C09BB02,ringe dokumenteret,mulig,5,A,C,A10BB03_C09BB02
A10BB01,C09DX01,ringe dokumenteret,mulig,5,A,C,A10BB01_C09DX01
G03AA12,R07AX30,dokumenteret,mulig,5,G,R,G03AA12_R07AX30
J05AR04,J01EE01,begrænset dokumenteret,moderat,5,J,J,J01EE01_J05AR04
A10BD25,C09AA02,ringe dokumenteret,mulig,5,A,C,A10BD25_C09AA02
N06AB03,C07AB02,ringe dokumenteret,mulig,5,N,C,C07AB02_N06AB03
G03AD01,C02KX01,ringe dokumenteret,mulig,5,G,C,C02KX01_G03AD01
N06AB04,B01AA03,veldokumenteret,moderat,5,N,B,B01AA03_N06AB04
J01MA02,J02AC02,dokumenteret,moderat,5,J,J,J01MA02_J02AC02
J05AR09,J05AE09,veldokumenteret,moderat,5,J,J,J05AE09_J05AR09
G03AA07,R07AX31,dokumenteret,ingen,5,G,R,G03AA07_R07AX31
D10BA01,L01BA01,ringe dokumenteret,moderat,5,D,L,D10BA01_L01BA01
M02AA13,N02AJ07,dokumenteret,mulig,5,M,N,M02AA13_N02AJ07
N02CC03,N06AB05,ringe dokumenteret,mulig,5,N,N,N02CC03_N06AB05
G03FB05,N03AX22,dokumenteret,mulig,5,G,N,G03FB05_N03AX22
J04AM02,J04AM06,veldokumenteret,moderat,5,J,J,J04AM02_J04AM06
G03AA10,J05AP02,veldokumenteret,moderat,5,G,J,G03AA10_J05AP02
D01AC08,R01AD58,dokumenteret,mulig,5,D,R,D01AC08_R01AD58
G03AB05,C02KX01,ringe dokumenteret,mulig,5,G,C,C02KX01_G03AB05
A02AH,C09AA03,ringe dokumenteret,moderat,5,A,C,A02AH_C09AA03
N07BC01,J05AR15,veldokumenteret,moderat,5,N,J,J05AR15_N07BC01
J01XX08,N06AB06,ringe dokumenteret,udtalt,5,J,N,J01XX08_N06AB06
G03DA02,J05AE01,dokumenteret,mulig,5,G,J,G03DA02_J05AE01
J02AC03,G03AC06,dokumenteret,mulig,5,J,G,G03AC06_J02AC03
J01XC01,C10BA03,ringe dokumenteret,udtalt,5,J,C,C10BA03_J01XC01
A10BD08,N03AX11,dokumenteret,moderat,5,A,N,A10BD08_N03AX11
G03AB03,J05AP53,veldokumenteret,mulig,5,G,J,G03AB03_J05AP53
A10AD06,C09AA04,veldokumenteret,mulig,5,A,C,A10AD06_C09AA04
B01AB01,N02BA51,veldokumenteret,moderat,5,B,N,B01AB01_N02BA51
G03DB08,J05AE01,dokumenteret,mulig,5,G,J,G03DB08_J05AE01
G03AA12,J05AP02,veldokumenteret,moderat,5,G,J,G03AA12_J05AP02
B01AB01,B01AC06,veldokumenteret,moderat,5,B,B,B01AB01_B01AC06
S02AA15,N03AF01,begrænset dokumenteret,moderat,5,S,N,N03AF01_S02AA15
R03AK06,C07AB03,dokumenteret,moderat,5,R,C,C07AB03_R03AK06
G03FA12,M03BX02,begrænset dokumenteret,moderat,5,G,M,G03FA12_M03BX02
J05AR10,C10AA03,dokumenteret,moderat,5,J,C,C10AA03_J05AR10
J02AC03,G03AB03,dokumenteret,mulig,5,J,G,G03AB03_J02AC03
A10BD13,N03AX11,dokumenteret,moderat,5,A,N,A10BD13_N03AX11
V04CX,S01AD03,ringe dokumenteret,moderat,5,V,S,S01AD03_V04CX
C10AB04,J05AR10,dokumenteret,mulig,5,C,J,C10AB04_J05AR10
J02AC01,J04AB04,dokumenteret,moderat,5,J,J,J02AC01_J04AB04
C09BB04,J05AE02,dokumenteret,udtalt,5,C,J,C09BB04_J05AE02
B02BB01,G03FB06,dokumenteret,udtalt,5,B,G,B02BB01_G03FB06
N05CH01,N02CA52,dokumenteret,mulig,5,N,N,N02CA52_N05CH01
G03FB08,J05AP02,veldokumenteret,moderat,5,G,J,G03FB08_J05AP02
J02AC03,G03DA02,dokumenteret,mulig,5,J,G,G03DA02_J02AC03
L01XE01,N03AX11,dokumenteret,moderat,5,L,N,L01XE01_N03AX11
N05BE01,N06AB04,ringe dokumenteret,udtalt,5,N,N,N05BE01_N06AB04
L02AB02,J05AR14,begrænset dokumenteret,mulig,5,L,J,J05AR14_L02AB02
C09XA02,N02BE01,dokumenteret,moderat,5,C,N,C09XA02_N02BE01
J05AR06,J05AE09,veldokumenteret,moderat,5,J,J,J05AE09_J05AR06
B01AA04,N06AB05,ringe dokumenteret,moderat,5,B,N,B01AA04_N06AB05
G03DA02,N05BA02,veldokumenteret,mulig,5,G,N,G03DA02_N05BA02
A10AE04,C09AA04,veldokumenteret,mulig,5,A,C,A10AE04_C09AA04
J05AG04,C01AA05,begrænset dokumenteret,ringe,5,J,C,C01AA05_J05AG04
G03FA14,N05BA02,veldokumenteret,mulig,5,G,N,G03FA14_N05BA02
J04AM02,G03CA04,veldokumenteret,moderat,5,J,G,G03CA04_J04AM02
G03AA16,M01AH05,dokumenteret,mulig,5,G,M,G03AA16_M01AH05
J04AM02,G03FA01,veldokumenteret,moderat,5,J,G,G03FA01_J04AM02
R03AC03,C07CB03,dokumenteret,moderat,5,R,C,C07CB03_R03AC03
A02BX13,B03AA07,veldokumenteret,moderat,5,A,B,A02BX13_B03AA07
D01AE15,L02BA01,ringe dokumenteret,mulig,5,D,L,D01AE15_L02BA01
J04AM02,G03AA13,veldokumenteret,moderat,5,J,G,G03AA13_J04AM02
N02BA75,N05AN01,begrænset dokumenteret,mulig,5,N,N,N02BA75_N05AN01
L01BA01,M04AA01,dokumenteret,moderat,5,L,M,L01BA01_M04AA01
A10BB01,C09BA05,ringe dokumenteret,mulig,5,A,C,A10BB01_C09BA05
L01XA02,B01AA03,ringe dokumenteret,mulig,5,L,B,B01AA03_L01XA02
A10AC01,C09BA04,veldokumenteret,mulig,5,A,C,A10AC01_C09BA04
J04AM02,G03FA12,veldokumenteret,moderat,5,J,G,G03FA12_J04AM02
J05AF04,J04AM02,begrænset dokumenteret,udtalt,5,J,J,J04AM02_J05AF04
G03AA10,C02KX01,ringe dokumenteret,mulig,5,G,C,C02KX01_G03AA10
A10BD08,C09BB02,dokumenteret,moderat,5,A,C,A10BD08_C09BB02
A10AD01,C09AA04,veldokumenteret,mulig,5,A,C,A10AD01_C09AA04
G03AA11,R07AX31,dokumenteret,ingen,5,G,R,G03AA11_R07AX31
N01BB52,S02CA05,dokumenteret,mulig,5,N,S,N01BB52_S02CA05
G03AA13,R07AX31,dokumenteret,mulig,5,G,R,G03AA13_R07AX31
C09AA01,A02AH,dokumenteret,moderat,5,C,A,A02AH_C09AA01
M01AE02,C09DA03,dokumenteret,moderat,5,M,C,C09DA03_M01AE02
G02BA03,N03AX09,dokumenteret,mulig,5,G,N,G02BA03_N03AX09
J05AP02,J01FA09,ringe dokumenteret,mulig,5,J,J,J01FA09_J05AP02
C07BB07,M01AE51,dokumenteret,uafklaret,5,C,M,C07BB07_M01AE51
D11AX18,C09AA02,dokumenteret,moderat,5,D,C,C09AA02_D11AX18
D01AC02,N06AB10,ringe dokumenteret,udtalt,5,D,N,D01AC02_N06AB10
C03EA01,B05BB01,ringe dokumenteret,moderat,5,C,B,B05BB01_C03EA01
A10BB01,N02BA01,dokumenteret,mulig,5,A,N,A10BB01_N02BA01
C08CA01,N03AF01,ringe dokumenteret,moderat,5,C,N,C08CA01_N03AF01
A10BD13,C09AA05,ringe dokumenteret,mulig,5,A,C,A10BD13_C09AA05
N02CC01,N06AG02,ringe dokumenteret,moderat,5,N,N,N02CC01_N06AG02
R03AL09,S01ED02,dokumenteret,moderat,5,R,S,R03AL09_S01ED02
G03AD01,M03BX02,begrænset dokumenteret,moderat,5,G,M,G03AD01_M03BX02
J02AB02,R01AD12,dokumenteret,mulig,5,J,R,J02AB02_R01AD12
R03AL01,S01ED51,dokumenteret,moderat,5,R,S,R03AL01_S01ED51
B05BA01,G03FA14,dokumenteret,udtalt,5,B,G,B05BA01_G03FA14
A10BD20,C09BB02,ringe dokumenteret,mulig,5,A,C,A10BD20_C09BB02
L01XE12,A10BA02,begrænset dokumenteret,mulig,5,L,A,A10BA02_L01XE12
A10BB07,C09BB04,ringe dokumenteret,mulig,5,A,C,A10BB07_C09BB04
L01XE10,C09AA05,ringe dokumenteret,moderat,5,L,C,C09AA05_L01XE10
