drug,codrug,Evidence_level,Clinical_significance,Management_option,level_1_atc_drug,level_1_atc_codrug,ATC_vector
G03AA11,N03AF01,veldokumenteret,moderat,1,G,N,G03AA11_N03AF01
J05AR08,J04AM02,dokumenteret,udtalt,1,J,J,J04AM02_J05AR08
N06AX26,J01XX08,dokumenteret,uafklaret,1,N,J,J01XX08_N06AX26
G03FB06,N03AF04,dokumenteret,mulig,1,G,N,G03FB06_N03AF04
G03AC06,N03AF01,veldokumenteret,moderat,1,G,N,G03AC06_N03AF01
G03AB03,J05AR22,begrænset dokumenteret,mulig,1,G,J,G03AB03_J05AR22
G03FA12,N03AF04,dokumenteret,mulig,1,G,N,G03FA12_N03AF04
C01BD07,J02AB02,dokumenteret,udtalt,1,C,J,C01BD07_J02AB02
A06AH03,D01AC08,dokumenteret,udtalt,1,A,D,A06AH03_D01AC08
J05AR18,N03AF01,dokumenteret,udtalt,1,J,N,J05AR18_N03AF01
C01BD07,J01FA01,dokumenteret,udtalt,1,C,J,C01BD07_J01FA01
G03AA16,J05AR14,begrænset dokumenteret,mulig,1,G,J,G03AA16_J05AR14
G03AA16,J05AP53,veldokumenteret,mulig,1,G,J,G03AA16_J05AP53
J05AR22,C10BA02,ringe dokumenteret,uafklaret,1,J,C,C10BA02_J05AR22
N03AF01,N05CD08,dokumenteret,udtalt,1,N,N,N03AF01_N05CD08
N06AA04,N06AB08,dokumenteret,udtalt,1,N,N,N06AB08_N06AA04
J05AR22,N03AF01,dokumenteret,udtalt,1,J,N,J05AR22_N03AF01
G03AB08,N03AF02,dokumenteret,moderat,1,G,N,G03AB08_N03AF02
G03AB05,N03AX11,dokumenteret,moderat,1,G,N,G03AB05_N03AX11
G03AB05,J05AP53,veldokumenteret,mulig,1,G,J,G03AB05_J05AP53
J05AP53,J04AB04,dokumenteret,udtalt,1,J,J,J04AB04_J05AP53
J02AC04,C10BA02,dokumenteret,udtalt,1,J,C,C10BA02_J02AC04
L02AB02,N03AA02,begrænset dokumenteret,moderat,1,L,N,L02AB02_N03AA02
G03AA10,N06AX25,veldokumenteret,moderat,1,G,N,G03AA10_N06AX25
G03AA13,N03AF04,dokumenteret,mulig,1,G,N,G03AA13_N03AF04
S02AA15,M03BX02,dokumenteret,udtalt,1,S,M,M03BX02_S02AA15
