,NDFRT,CUI
177,"N0000147623
","
C0028365
"
178,"N0000148387
","
C0068485
"
179,"N0000147693
","
C0002026
"
180,"N0000145804
","
C0002026
"
181,"N0000147702
","
C0002600
"
182,"N0000147779
","
C0009010
"
183,"N0000147828
","
C0013085
"
184,"N0000146270
","
C0002644
"
185,"N0000147800
","
C0011685
"
186,"N0000148339
","
C0072916
"
187,"N0000147767
","
C0008269
"
188,"N0000147793
","
C0010620
"
189,"N0000147875
","
C0020934
"
190,"N0000147946
","
C0028420
"
191,"N0000148003
","
C0033743
"
192,"N0000146207
","
C0009014
"
193,"N0000147364
","
C0022180
"
194,"N0000146821
","
C0018549
"
195,"N0000148295
","
C0063252
"
196,"N0000147363
","
C0014277
"
197,"N0000147613
","
C0016277
"
198,"N0000148321
","
C0140575
"
199,"N0000146234
","
C0037982
"
200,"N0000148444
","
C0076891
"
201,"N0000146235
","
C0008296
"
202,"N0000147467
","
C0010980
"
203,"N0000148010
","
C0034414
"
204,"N0000147112
","
C0355634
"
205,"N0000147695
","
C0032143
"
206,"N0000146875
","
C0025942
"
207,"N0000145880
","
C0002640
"
208,"N0000148438
","
C0700483
"
209,"N0000148436
","
C0292818
"
210,"N0000147738
","
C0085208
"
211,"N0000148446
","
C0284906
"
212,"N0000146214
","
C0008286
"
213,"N0000146157
","
C0012010
"
214,"N0000147666
","
C0014892
"
215,"N0000147854
","
C0016375
"
216,"N0000147103
","
C0062092
"
217,"N0000147639
","
C0072828
"
218,"N0000146946
","
C0032910
"
219,"N0000148270
","
C0057558
"
220,"N0000146366
","
C0015011
"
221,"N0000146459
","
C0015117
"
222,"N0000146370
","
C0023566
"
223,"N0000146457
","
C0025506
"
224,"N0000146818
","
C0028356
"
225,"N0000146458
","
C0028360
"
226,"N0000147899
","
C0025147
"
227,"N0000148272
","
C0068992
"
228,"N0000146367
","
C0028368
"
229,"N0000145898
","
C0000970
"
230,"N0000146461
","
C0018546
"
231,"N0000146035
","
C0042874
"
232,"N0000147258
","
C0042878
"
233,"N0000148011
","
C0034417
"
234,"N0000147989
","
C0033216
"
235,"N0000148284
","
C0165603
"
236,"N0000147855
","
C0017066
"
237,"N0000148396
","
C0058445
"
238,"N0000147201
","
C0304712
"
239,"N0000146837
","
C0086248
"
240,"N0000146393
","
C0011816
"
241,"N0000147845
","
C0015827
"
242,"N0000148445
","
C0600560
"
243,"N0000147821
","
C0012702
"
244,"N0000147645
","
C0023556
"
245,"N0000147836
","
C0085251
"
246,"N0000147849
","
C0016280
"
247,"N0000146093
","
C0016366
"
248,"N0000148361
","
C0246203
"
249,"N0000146291
","
C0020268
"
250,"N0000147884
","
C0022487
"
251,"N0000146473
","
C0007257
"
252,"N0000146576
","
C0025382
"
253,"N0000147562
","
C0066282
"
254,"N0000147339
","
C0030078
"
255,"N0000146847
","
C0031444
"
256,"N0000146287
","
C0010137
"
257,"N0000146273
","
C0011777
"
258,"N0000146564
","
C0010961
"
259,"N0000147809
","
C0012201
"
260,"N0000147799
","
C0011276
"
261,"N0000146577
","
C0002413
"
262,"N0000147721
","
C0005096
"
263,"N0000147724
","
C0005116
"
264,"N0000146957
","
C0005308
"
265,"N0000147740
","
C0006464
"
266,"N0000146445
","
C0054234
"
267,"N0000147067
","
C0014758
"
268,"N0000145909
","
C0017887
"
269,"N0000146783
","
C0030858
"
270,"N0000146183
","
C0022252
"
271,"N0000148137
","
C0064079
"
272,"N0000148511
","
C0286186
"
273,"N0000148479
","
C0886530
"
274,"N0000147084
","
C0001367
"
275,"N0000148447
","
C0286079
"
276,"N0000148380
","
C0209227
"
277,"N0000148505
","
C0054836
"
278,"N0000148566
","
C0724549
"
279,"N0000148468
","
C0286650
"
280,"N0000147739
","
C0006462
"
281,"N0000146935
","
C0008275
"
282,"N0000145815
","
C0012203
"
283,"N0000145989
","
C0014912
"
284,"N0000146730
","
C0014939
"
285,"N0000146811
","
C0014942
"
286,"N0000147017
","
C0071108
"
287,"N0000148401
","
C0126174
"
288,"N0000148587
","
C0674428
"
289,"N0000147791
","
C0056732
"
290,"N0000148512
","
C0107211
"
291,"N0000148583
","
C0008845
"
292,"N0000147602
","
C0024027
"
293,"N0000148200
","
C0074554
"
294,"N0000148242
","
C0058716
"
295,"N0000147903
","
C0025380
"
296,"N0000148253
","
C0066621
"
297,"N0000147980
","
C0071102
"
298,"N0000148370
","
C0069632
"
299,"N0000148433
","
C0530105
"
300,"N0000145837
","
C0700566
"
301,"N0000146336
","
C0027603
"
302,"N0000148018
","
C0038425
"
303,"N0000146801
","
C0031935
"
304,"N0000022990
","
C0142278
"
305,"N0000148545
","
C0771993
"
306,"N0000148576
","
C0297635
"
307,"N0000146039
","
C0027996
"
308,"N0000147905
","
C0025497
"
309,"N0000148383
","
C0015689
"
310,"N0000022734
","
C0991855
"
311,"N0000148493
","
C0076829
"
312,"N0000146593
","
C0032911
"
313,"N0000148634
","
C0753645
"
314,"N0000148815
","
C1176383
"
315,"N0000147737
","
C0006405
"
316,"N0000148648
","
C0114771
"
317,"N0000148860
","
C0245561
"
318,"N0000148432
","
C0123053
"
319,"N0000148390
","
C0064636
"
320,"N0000148610
","
C0076275
"
321,"N0000147975
","
C0031441
"
322,"N0000147977
","
C0031448
"
323,"N0000148827
","
C1176315
"
324,"N0000023009
","
C1572487
"
325,"N0000148442
","
C0594375
"
326,"N0000148474
","
C0282386
"
327,"N0000148632
","
C0536495
"
328,"N0000148664
","
C0663241
"
329,"N0000148727
","
C0173083
"
330,"N0000147986
","
C0032912
"
331,"N0000148549
","
C0724693
"
332,"N0000148829
","
C1176316
"
333,"N0000147827
","
C0114873
"
334,"N0000148025
","
C0076107
"
335,"N0000148548
","
C0724517
"
336,"N0000146719
","
C0004609
"
337,"N0000147743
","
C0006491
"
338,"N0000148020
","
C0038627
"
339,"N0000148514
","
C0075632
"
340,"N0000148235
","
C0040207
"
341,"N0000022989
","
C0772326
"
342,"N0000146549
","
C0018242
"
343,"N0000148323
","
C0206599
"
344,"N0000148581
","
C0073372
"
345,"N0000147185
","
C0007716
"
346,"N0000148605
","
C0055729
"
347,"N0000147909
","
C0025605
"
348,"N0000148420
","
C0050393
"
349,"N0000147059
","
C0025381
"
350,"N0000147731
","
C0054040
"
351,"N0000145812
","
C0001962
"
352,"N0000148563
","
C0148859
"
353,"N0000146409
","
C0025815
"
354,"N0000146334
","
C0032950
"
355,"N0000146229
","
C0032952
"
356,"N0000148593
","
C0728747
"
357,"N0000148596
","
C0538927
"
358,"N0000148609
","
C0754188
"
359,"N0000148480
","
C0543492
"
360,"N0000147919
","
C0025760
"
361,"N0000147921
","
C0025842
"
362,"N0000146320
","
C0015620
"
363,"N0000147848
","
C0016229
"
364,"N0000148461
","
C0132326
"
365,"N0000148419
","
C0286738
"
366,"N0000148524
","
C0050559
"
367,"N0000145996
","
C0002679
"
368,"N0000147689
","
C0050458
"
369,"N0000147951
","
C0061851
"
370,"N0000148554
","
C0033228
"
371,"N0000148555
","
C0671970
"
372,"N0000148355
","
C0771200
"
373,"N0000147925
","
C0025887
"
374,"N0000147928
","
C0026187
"
375,"N0000148449
","
C0049506
"
376,"N0000147966
","
C0030863
"
377,"N0000148649
","
C0083381
"
378,"N0000148000
","
C0033493
"
379,"N0000148369
","
C0164662
"
380,"N0000145872
","
C0039601
"
381,"N0000146005
","
C0039644
"
382,"N0000148435
","
C0982234
"
383,"N0000148407
","
C0050940
"
384,"N0000147569
","
C0028978
"
385,"N0000148623
","
C0378482
"
386,"N0000148012
","
C0034665
"
387,"N0000147119
","
C0038633
"
388,"N0000148654
","
C0081876
"
389,"N0000146900
","
C0022251
"
390,"N0000146225
","
C0033209
"
391,"N0000147496
","
C0035525
"
392,"N0000148672
","
C0674432
"
393,"N0000146125
","
C0065884
"
394,"N0000146037
","
C0021968
"
